Wahlkreiscode,Wahlkreis,AfDShare2017,AvgNetFortzuege2014-2017,FortzuegeProzentFrom2013Population,Arbeitslos,EastWest,Ausbildung
3354,"L�chow-Dannenberg, Landkreis",7.766956642290229,-8.5,-0.017464557222108077,0.03774014103439006,0,0.002696610625142172
16074,Saale-Holzland-Kreis,23.482834464951708,-14.777777777777779,-0.017592383159459532,0.026979154114953607,1,0.0020387998554042656
13071,Landkreis Mecklenburgische Seenplatte,19.58469109975728,-49,-0.018672926542993462,0.05486349367166333,1,0.002812252949258176
15085,"Harz, Landkreis",16.462187760710606,-43.44444444444444,-0.019654295519172443,0.03246894345327533,1,0.0022820262691921832
9476,"Kronach, Landkreis",11.756935270805812,-13.5,-0.01971263360785001,0.017473397160387705,0,0.003094525298633548
12073,"Uckermark, Landkreis",20.79071853255602,-24.666666666666668,-0.020330899120276375,0.06395566228219594,1,0.0025858129274028033
5554,"Borken, Kreis",6.137097073333581,-75.05555555555556,-0.02060431809162839,0.02123510351132485,0,0.004401733212881169
5958,Hochsauerlandkreis,7.9940319604224745,-55.611111111111114,-0.021225695942011555,0.025272276186871872,0,0.004370180931301154
9475,"Hof, Landkreis",12.389044084830653,-22,-0.022657987970668203,0.016309398264646613,0,0.001522349722781995
15086,"Jerichower Land, Landkreis",18.975839830590047,-20.944444444444443,-0.022834949950877488,0.04122036146576024,1,0.001653678218095396
16068,"S�mmerda, Kreis",24.246033636666827,-17.444444444444443,-0.024627566874824525,0.033001556542476475,1,0.002056349693689577
9477,"Kulmbach, Landkreis",11.424839447044736,-18.72222222222222,-0.025682765264098174,0.02170471588068655,0,0.002743987113258901
7333,Donnersbergkreis,13.667804323094426,-20.61111111111111,-0.02741130853164045,0.02765572155202258,0,0.003880056456552422
9676,"Miltenberg, Landkreis",11.25569290826285,-36.77777777777778,-0.028753080532079707,0.016219918433423616,0,0.0026042153108558268
9371,"Amberg-Sulzbach, Landkreis",13.02439553963306,-30.5,-0.029590391369307488,0.015549029522735229,0,0.0007993309735890155
3462,"Wittmund, Landkreis",8.603442578629577,-16.72222222222222,-0.029649330181245187,0.031587668117960196,0,0.0038215437767710777
13075,Landkreis Vorpommern-Greifswald,22.71570393081995,-81.77777777777777,-0.03433372285315105,0.05044164916099314,1,0.0023360583128748955
5766,"Lippe, Kreis",10.843193050771305,-124.94444444444444,-0.03617656350635669,0.03448315376043132,0,0.004301728311594555
3155,"Northeim, Landkreis",9.517527095175272,-49.833333333333336,-0.03700650769958153,0.030545826255580777,0,0.0038362671557205775
3461,"Wesermarsch, Landkreis",8.324554254705916,-33.72222222222222,-0.0379622228976623,0.03627193278066096,0,0.003214935633888252
5770,"Minden-L�bbecke, Kreis",10.565267900150172,-120.27777777777777,-0.03888005332942559,0.027062373275665394,0,0.005692031348909247
6535,Vogelsbergkreis,14.109935239298688,-41.611111111111114,-0.03911443662155709,0.02234831049027252,0,0.0023090435975237434
6635,"Waldeck-Frankenberg, Landkreis",12.4367199092258,-64.55555555555556,-0.04122137296261065,0.021767054993132216,0,0.00311212290786997
5374,Oberbergischer Kreis,10.586710011997368,-113.11111111111111,-0.041848056203008195,0.028545470531344333,0,0.005487822748454031
6437,Odenwaldkreis,13.070244377081696,-41.111111111111114,-0.042734598508446985,0.02710229096141702,0,0.003726823814404174
