Wahlkreiscode,Wahlkreis,AfDShare2017,AvgNetFortzuege2014-2017,FortzuegeProzentFrom2013Population
9679,"W�rzburg, Landkreis",9.140848786,-152.75,-0.09632362215
14730,"Nordsachsen, Landkreis",26.85328964,-193.6666667,-0.09813559265
7332,"Bad D�rkheim, Landkreis",12.3557527,-128.6666667,-0.09818809889
1058,"Rendsburg-Eckernf�rde, Landkreis",7.345234196,-268.0833333,-0.1000031086
9372,"Cham, Landkreis",18.00956094,-126.9166667,-0.1010861283
7133,"Bad Kreuznach, Landkreis",11.55595498,-158.25,-0.1019015177
9474,"Forchheim, Landkreis",11.79641127,-115.75,-0.1020507124
7141,Rhein-Lahn-Kreis,10.91979817,-124,-0.1021627188
3151,"Gifhorn, Landkreis",11.42063156,-176.0833333,-0.1026874666
3356,"Osterholz, Landkreis",9.588670652,-115.25,-0.1039393229
9678,"Schweinfurt, Landkreis",11.97019534,-119.3333333,-0.1055981783
3153,"Goslar, Landkreis",11.13670892,-145.5833333,-0.1056229882
9479,"Wunsiedel i.Fichtelgebirge, Landkreis",13.80870758,-78.16666667,-0.1059412963
1055,"Ostholstein, Landkreis",8.459928973,-209.75,-0.1060226957
8225,"Neckar-Odenwald-Kreis, Landkreis",14.06824147,-154.9166667,-0.1094167891
7134,"Birkenfeld, Landkreis",12.03798331,-89.75,-0.1112515959
16054,"Suhl, kreisfreie Stadt",19.85528633,-40,-0.1121547736
9773,"Dillingen a.d.Donau, Landkreis",16.61968717,-105.0833333,-0.1128363167
3351,"Celle, Landkreis",11.73998158,-198.5,-0.1130719103
8437,"Sigmaringen, Landkreis",12.88111946,-144.0833333,-0.1133612901
3158,"Wolfenb�ttel, Landkreis",9.872300543,-140.6666667,-0.1173199889
13074,Landkreis Nordwestmecklenburg,16.97234873,-184.8333333,-0.1190437854
1057,"Pl�n, Landkreis",7.686135495,-151,-0.119232804
9577,"Wei�enburg-Gunzenhausen, Landkreis",11.31059579,-110.75,-0.1199488796
3457,"Leer, Landkreis",9.220794065,-197.9166667,-0.1201008949
8136,"Ostalbkreis, Landkreis",12.26348349,-378.75,-0.1233982661
7334,"Germersheim, Landkreis",16.31823223,-156.0833333,-0.1244346296
5566,"Steinfurt, Kreis",6.4912641,-541.0833333,-0.124535557
13073,Landkreis Vorpommern-R�gen,20.45495267,-279.25,-0.1251630369
16067,"Gotha, Kreis",23.22490425,-169.1666667,-0.1251649341
3359,"Stade, Landkreis",9.470895516,-246.5833333,-0.1254774844
9576,"Roth, Landkreis",11.71084769,-156.9166667,-0.1271290573
6632,"Hersfeld-Rotenburg, Landkreis",14.68853016,-153.1666667,-0.1280111881
7232,Eifelkreis Bitburg-Pr�m,7.408899469,-123.5833333,-0.1285211146
5366,"Euskirchen, Kreis",9.892369306,-243.5,-0.1299103165
7137,"Mayen-Koblenz, Landkreis",10.10673624,-273.5,-0.1303715709
9276,"Regen, Landkreis",20.67972222,-99.58333333,-0.1305891044
1054,"Nordfriesland, Landkreis",5.805913694,-213.4166667,-0.1318013294
5358,"D�ren, Kreis",9.612745947,-343.0833333,-0.1327798956
3454,"Emsland, Landkreis",6.3005853,-418.5,-0.1334123925
5970,"Siegen-Wittgenstein, Kreis",10.65737237,-370,-0.1345924395
3257,"Schaumburg, Landkreis",10.27142601,-211.9166667,-0.1361941058
9571,"Ansbach, Landkreis",11.72621626,-243.8333333,-0.1362852171
3254,"Hildesheim, Landkreis",9.325775266,-375,-0.1366025667
7331,"Alzey-Worms, Landkreis",13.81461332,-171.25,-0.1367669491
13072,Landkreis Rostock,18.16478074,-288.4166667,-0.1369792532
9572,"Erlangen-H�chstadt, Landkreis",10.49546651,-180.9166667,-0.1370456221
8237,"Freudenstadt, Landkreis",14.6839383,-157.8333333,-0.1374938658
5774,"Paderborn, Kreis",9.913266983,-409.75,-0.1381080462
9575,"Neustadt a.d.Aisch-Bad Windsheim, Landkreis",10.90003166,-135,-0.1384871053
6633,"Kassel, Landkreis",11.338502,-323.25,-0.1385246323
9771,"Aichach-Friedberg, Landkreis",14.28855178,-179.5,-0.1397594114
9278,"Straubing-Bogen, Landkreis",17.13285553,-136.75,-0.1405114927
8128,"Main-Tauber-Kreis, Landkreis",13.57331988,-183.75,-0.1415018058
9275,"Passau, Landkreis",17.21410255,-266.6666667,-0.1436232188
6631,"Fulda, Landkreis",16.1570797,-312.75,-0.144581488
8417,"Zollernalbkreis, Landkreis",14.57327361,-269.1666667,-0.1457989149
3358,"Heidekreis, Landkreis",9.708091309,-198.8333333,-0.1459316507
6534,"Marburg-Biedenkopf, Landkreis",11.45355362,-354.1666667,-0.1465581929
6636,Werra-Mei�ner-Kreis,11.24598417,-149.5,-0.148969668
5974,"Soest, Kreis",9.339935519,-440.9166667,-0.1494779713
8325,"Rottweil, Landkreis",13.81599949,-208.75,-0.1542651069
9780,"Oberallg�u, Landkreis",10.29754095,-232.75,-0.1546737729
9277,"Rottal-Inn, Landkreis",15.28085899,-183.5,-0.155965798
7235,"Trier-Saarburg, Landkreis",8.088618111,-225.5,-0.1562315969
7131,"Ahrweiler, Landkreis",8.806464199,-199.25,-0.1580070102
9190,"Weilheim-Schongau, Landkreis",11.73363077,-207.6666667,-0.1592694568
9675,"Kitzingen, Landkreis",10.87407516,-140.3333333,-0.1592941114
9776,"Lindau (Bodensee), Landkreis",8.988861066,-126.5833333,-0.1603558866
3451,"Ammerland, Landkreis",7.942677031,-191.5833333,-0.1611772459
9777,"Ostallg�u, Landkreis",11.45202853,-222.8333333,-0.1653421978
3157,"Peine, Landkreis",10.32200425,-216.0833333,-0.1660302069
8336,"L�rrach, Landkreis",10.85400626,-370.25,-0.166822112
3154,"Helmstedt, Landkreis",9.913689983,-152.3333333,-0.1684674622
3361,"Verden, Landkreis",9.735338125,-223.5833333,-0.1687943691
9779,"Donau-Ries, Landkreis",13.23360331,-218.75,-0.1690207229
3460,"Vechta, Landkreis",6.991184061,-228.9166667,-0.1705939925
9774,"G�nzburg, Landkreis",15.97179321,-206.4166667,-0.1710219615
9376,"Schwandorf, Landkreis",16.80575973,-246.25,-0.1721305746
8127,"Schw�bisch Hall, Landkreis",14.49302535,-323.25,-0.1722328193
3251,"Diepholz, Landkreis",8.420506145,-365.9166667,-0.1742833782
8425,"Alb-Donau-Kreis, Landkreis",12.45952225,-327.8333333,-0.1744796656
8317,"Ortenaukreis, Landkreis",12.02136716,-724.75,-0.1756211865
9375,"Regensburg, Landkreis",14.44912652,-329.9166667,-0.1773936266
9772,"Augsburg, Landkreis",13.75015264,-430.9166667,-0.1788696517
8126,"Hohenlohekreis, Landkreis",14.83928204,-194.4166667,-0.180239062
9172,"Berchtesgadener Land, Landkreis",13.12642369,-185.6666667,-0.18141077
12064,"M�rkisch-Oderland, Landkreis",20.83232956,-342.3333333,-0.1824143345
3453,"Cloppenburg, Landkreis",9.060422154,-295,-0.1841724103
3458,"Oldenburg, Landkreis",8.90521321,-234.9166667,-0.1867708714
8337,"Waldshut, Landkreis",10.4503425,-309.3333333,-0.188313599
8436,"Ravensburg, Landkreis",10.40175193,-516.5,-0.1888206478
9181,"Landsberg am Lech, Landkreis",10.90610457,-217.25,-0.1890346832
9778,"Unterallg�u, Landkreis",15.33706387,-260.1666667,-0.1892341412
12069,"Potsdam-Mittelmark, Landkreis",15.36717423,-393.3333333,-0.1913844557
9187,"Rosenheim, Landkreis",13.69190473,-479,-0.1917457268
3355,"L�neburg, Landkreis",9.216792768,-339.0833333,-0.1918684374
9171,"Alt�tting, Landkreis",13.60976561,-207.5,-0.1939886879
9185,"Neuburg-Schrobenhausen, Landkreis",15.0685673,-180,-0.1941747573
6439,Rheingau-Taunus-Kreis,11.61453041,-355.4166667,-0.1961568887
9574,"N�rnberger Land, Landkreis",11.43268173,-332.1666667,-0.2013131313
6435,Main-Kinzig-Kreis,14.70945835,-817.4166667,-0.2018337675
8316,"Emmendingen, Landkreis",10.0257334,-320.5833333,-0.2026737979
8135,"Heidenheim, Landkreis",13.28020872,-259.75,-0.2030137479
9182,"Miesbach, Landkreis",11.37584237,-195.6666667,-0.2037154647
9373,"Neumarkt i.d.OPf., Landkreis",12.04971405,-262.0833333,-0.2050313186
12065,"Oberhavel, Landkreis",19.33737463,-418,-0.2058991587
8415,"Reutlingen, Landkreis",12.92523981,-569.8333333,-0.2064471407
1053,"Herzogtum Lauenburg, Landkreis",10.21895934,-396.6666667,-0.2098288044
8326,"Schwarzwald-Baar-Kreis, Landkreis",12.80385207,-430.5,-0.2099078453
9271,"Deggendorf, Landkreis",18.38353768,-245.25,-0.2125695564
6440,Wetteraukreis,12.29682997,-628.0833333,-0.2126155464
5154,"Kleve, Kreis",6.931372198,-652.25,-0.215478794
9188,"Starnberg, Landkreis",8.791642026,-283.5,-0.2167248932
9189,"Traunstein, Landkreis",11.42904128,-373.9166667,-0.2194810328
9180,"Garmisch-Partenkirchen, Landkreis",12.64308113,-188.75,-0.2209075056
8235,"Calw, Landkreis",15.21077338,-344,-0.2271211731
3353,"Harburg, Landkreis",9.976065401,-561.3333333,-0.2311240672
9173,"Bad T�lz-Wolfratshausen, Landkreis",11.91531131,-283.1666667,-0.2318795482
1060,"Segeberg, Landkreis",8.997054701,-620.0833333,-0.2355921814
9279,"Dingolfing-Landau, Landkreis",18.29978148,-219.5833333,-0.2372206918
9176,"Eichst�tt, Landkreis",14.74164515,-306.4166667,-0.2434622087
9274,"Landshut, Landkreis",15.09975197,-366.5,-0.2438196865
8426,"Biberach, Landkreis",12.61987565,-461.4166667,-0.2445291191
12060,"Barnim, Landkreis",20.58919477,-425.3333333,-0.2447905276
8315,"Breisgau-Hochschwarzwald, Landkreis",9.252682851,-618.8333333,-0.2473977594
8327,"Tuttlingen, Landkreis",14.11026695,-331.3333333,-0.2487524838
12063,"Havelland, Landkreis",17.99597891,-389.75,-0.2532916542
12072,"Teltow-Fl�ming, Landkreis",19.95767391,-408.6666667,-0.2547034969
12061,"Dahme-Spreewald, Landkreis",21.40787722,-411.75,-0.2560745804
9177,"Erding, Landkreis",13.53829558,-354.1666667,-0.2719380416
9183,"M�hldorf a.Inn, Landkreis",15.46406163,-311.25,-0.2849570161
9186,"Pfaffenhofen a.d.Ilm, Landkreis",15.1688609,-354.9166667,-0.2957959334
9273,"Kelheim, Landkreis",14.8981892,-341.5833333,-0.2964309682
9178,"Freising, Landkreis",12.3463785,-543.8333333,-0.3217758318
9174,"Dachau, Landkreis",12.32636436,-470.6666667,-0.3259306451
9175,"Ebersberg, Landkreis",10.34387066,-434.6666667,-0.3267998426
3159,"G�ttingen, Landkreis",8.098812078,-37.33333333,\N
